"rule_id","active","layer","severity","official_spec_basis","owa_policy_basis","implementation_file","test_file","test_coverage","historical_alias_or_status","notes"
"INTERNAL-UNEXPECTED-EXCEPTION","true","internal","error","Validator implementation safety; not an OKF rule","docs/okf-conformance/VALIDATION_CONTRACT.md","tools/okf/validate-all.mjs","tests/okf/layered-validator.test.ts","Layer-level regression coverage in strict-validator.test.ts","Current stable identifier","Unexpected validator exceptions are an internal failure and never a pass."
"OKF-CONFORMANCE-BUNDLE-MISSING","true","official","error","OKF v0.2 §§3, 3.1 and 11","N/A: normative OKF layer","tools/okf/discovery.mjs;tools/okf/official.mjs","tests/okf/strict-validator.test.ts","Focused official conformance regression and layer-isolation tests","OKF-STRUCT-BUNDLE-MISSING","Active stable diagnostic; current production run emitted zero instances."
"OKF-CONFORMANCE-BUNDLE-ROOT","true","official","error","OKF v0.2 §§3, 3.1 and 11","N/A: normative OKF layer","tools/okf/discovery.mjs;tools/okf/official.mjs","tests/okf/strict-validator.test.ts","Focused official conformance regression and layer-isolation tests","OKF-STRUCT-BUNDLE-ROOT","Active stable diagnostic; current production run emitted zero instances."
"OKF-CONFORMANCE-COMPUTATION-RUNTIME-MISSING","true","official","error","Implementation-specific check adjacent to OKF v0.2 §4.1; not a general normative requirement","Repository implementation guard; not a Google OKF requirement","tools/okf/frontmatter.mjs;tools/okf/official.mjs","tests/okf/strict-validator.test.ts","Focused official conformance regression and layer-isolation tests","Current stable identifier","Implementation-specific type check kept in official layer; other unknown types remain tolerated."
"OKF-CONFORMANCE-FRONTMATTER-MISSING","true","official","error","OKF v0.2 §§4, 4.1 and 11","N/A: normative OKF layer","tools/okf/frontmatter.mjs;tools/okf/official.mjs","tests/okf/strict-validator.test.ts","Focused official conformance regression and layer-isolation tests","OKF-FRONTMATTER-MISSING","Active stable diagnostic; current production run emitted zero instances."
"OKF-CONFORMANCE-FRONTMATTER-NOT-MAPPING","true","official","error","OKF v0.2 §§4, 4.1 and 11","N/A: normative OKF layer","tools/okf/frontmatter.mjs;tools/okf/official.mjs","tests/okf/strict-validator.test.ts","Focused official conformance regression and layer-isolation tests","OKF-FRONTMATTER-NOT-MAPPING","Active stable diagnostic; current production run emitted zero instances."
"OKF-CONFORMANCE-INDEX-BODY","true","official","error","OKF v0.2 §§8 and 11","N/A: normative OKF layer","tools/okf/official.mjs","tests/okf/strict-validator.test.ts","Focused official conformance regression and layer-isolation tests","Current stable identifier","Active stable diagnostic; current production run emitted zero instances."
"OKF-CONFORMANCE-INDEX-CASE","true","official","error","OKF v0.2 §§8 and 11","N/A: normative OKF layer","tools/okf/official.mjs","tests/okf/strict-validator.test.ts","Focused official conformance regression and layer-isolation tests","Current stable identifier","Active stable diagnostic; current production run emitted zero instances."
"OKF-CONFORMANCE-INDEX-DUPLICATE-CASE","true","official","error","OKF v0.2 §§8 and 11","N/A: normative OKF layer","tools/okf/official.mjs","tests/okf/strict-validator.test.ts","Focused official conformance regression and layer-isolation tests","Current stable identifier","Active stable diagnostic; current production run emitted zero instances."
"OKF-CONFORMANCE-INDEX-FRONTMATTER","true","official","error","OKF v0.2 §§8 and 11","N/A: normative OKF layer","tools/okf/frontmatter.mjs;tools/okf/official.mjs","tests/okf/strict-validator.test.ts","Focused official conformance regression and layer-isolation tests","OKF-INDEX-FRONTMATTER","Active stable diagnostic; current production run emitted zero instances."
"OKF-CONFORMANCE-INDEX-ROOT-FRONTMATTER","true","official","error","OKF v0.2 §§8 and 11","N/A: normative OKF layer","tools/okf/frontmatter.mjs;tools/okf/official.mjs","tests/okf/strict-validator.test.ts","Focused official conformance regression and layer-isolation tests","OKF-INDEX-ROOT-FRONTMATTER","Active stable diagnostic; current production run emitted zero instances."
"OKF-CONFORMANCE-LOG-DATE-INVALID","true","official","error","OKF v0.2 §§9 and 11","N/A: normative OKF layer","tools/okf/official.mjs","tests/okf/strict-validator.test.ts","Focused official conformance regression and layer-isolation tests","OKF-LOG-DATE-INVALID","Active stable diagnostic; current production run emitted zero instances."
