path,type,status,frontmatter_valid,sources_count,sources_resolved,official_verified,custom_verification,generated_metadata,internal_links_valid,semantic_update_required,changed_in_phase_2,notes
okf/architecture/application-service.md,Architecture Component,stable,true,2,true,false,verified,false,true,true,true,Source references normalized to immutable GitHub permalinks at the Phase 2 baseline commit; custom owa metadata preserved. Removed completed Product Phase 8 framing from the current service description.
okf/architecture/browser-runtime.md,Architecture Component,stable,true,3,true,false,verified,false,true,false,true,Source references normalized to immutable GitHub permalinks at the Phase 2 baseline commit; body and custom owa metadata intentionally unchanged.
okf/architecture/cli.md,Architecture Component,stable,true,1,true,false,verified,false,true,false,true,Source references normalized to immutable GitHub permalinks at the Phase 2 baseline commit; body and custom owa metadata intentionally unchanged.
okf/architecture/contracts.md,Architecture Component,stable,true,2,true,false,verified,false,true,false,true,Source references normalized to immutable GitHub permalinks at the Phase 2 baseline commit; body and custom owa metadata intentionally unchanged.
okf/architecture/desktop-interface.md,Architecture Component,stable,true,1,true,false,verified,false,true,false,true,Source references normalized to immutable GitHub permalinks at the Phase 2 baseline commit; body and custom owa metadata intentionally unchanged.
okf/architecture/platform.md,Architecture Component,stable,true,1,true,false,absent,false,true,false,true,Source references normalized to immutable GitHub permalinks at the Phase 2 baseline commit; body and custom owa metadata intentionally unchanged.
okf/data/database.md,Data Model,stable,true,3,true,false,verified,false,true,false,true,Source references normalized to immutable GitHub permalinks at the Phase 2 baseline commit; body and custom owa metadata intentionally unchanged.
okf/data/persistence.md,Data Model,stable,true,3,true,false,verified,false,true,false,true,Source references normalized to immutable GitHub permalinks at the Phase 2 baseline commit; body and custom owa metadata intentionally unchanged.
okf/data/project-format.md,Data Model,stable,true,3,true,false,verified,false,true,false,true,Source references normalized to immutable GitHub permalinks at the Phase 2 baseline commit; body and custom owa metadata intentionally unchanged.
okf/data/render-results.md,Data Model,stable,true,2,true,false,verified,false,true,false,true,Source references normalized to immutable GitHub permalinks at the Phase 2 baseline commit; body and custom owa metadata intentionally unchanged.
okf/history/phase-01.md,Phase Record,stable,true,2,true,false,verified,false,true,false,true,Source references normalized to immutable GitHub permalinks at the Phase 2 baseline commit; body and custom owa metadata intentionally unchanged.
okf/history/phase-02.md,Phase Record,stable,true,3,true,false,verified,false,true,false,true,Source references normalized to immutable GitHub permalinks at the Phase 2 baseline commit; body and custom owa metadata intentionally unchanged.
okf/history/phase-03.md,Phase Record,stable,true,2,true,false,verified,false,true,false,true,Source references normalized to immutable GitHub permalinks at the Phase 2 baseline commit; body and custom owa metadata intentionally unchanged.
okf/history/phase-04.md,Phase Record,stable,true,2,true,false,verified,false,true,false,true,Source references normalized to immutable GitHub permalinks at the Phase 2 baseline commit; body and custom owa metadata intentionally unchanged.
okf/history/phase-05.md,Phase Record,stable,true,2,true,false,verified,false,true,false,true,Source references normalized to immutable GitHub permalinks at the Phase 2 baseline commit; body and custom owa metadata intentionally unchanged.
okf/history/phase-06.md,Phase Record,stable,true,3,true,false,verified,false,true,false,true,Source references normalized to immutable GitHub permalinks at the Phase 2 baseline commit; body and custom owa metadata intentionally unchanged.
okf/history/phase-07.md,Phase Record,stable,true,3,true,false,verified,false,true,false,true,Source references normalized to immutable GitHub permalinks at the Phase 2 baseline commit; body and custom owa metadata intentionally unchanged.
okf/history/phase-08.md,Phase Record,stable,true,4,true,false,verified,false,true,false,true,Source references normalized to immutable GitHub permalinks at the Phase 2 baseline commit; body and custom owa metadata intentionally unchanged.
okf/operations/migration.md,Operational Runbook,stable,true,1,true,false,verified,false,true,false,true,Source references normalized to immutable GitHub permalinks at the Phase 2 baseline commit; body and custom owa metadata intentionally unchanged.
okf/operations/observability.md,Operational Runbook,stable,true,1,true,false,absent,false,true,false,true,Source references normalized to immutable GitHub permalinks at the Phase 2 baseline commit; body and custom owa metadata intentionally unchanged.
okf/operations/packaging.md,Operational Runbook,stable,true,1,true,false,partial,false,true,true,true,Source references normalized to immutable GitHub permalinks at the Phase 2 baseline commit; custom owa metadata preserved. Replaced stale Product Phase 3 framing with the current development-artifact boundary.
okf/product/overview.md,Project Overview,stable,true,2,true,false,verified,false,true,true,true,Source references normalized to immutable GitHub permalinks at the Phase 2 baseline commit; custom owa metadata preserved. Updated the current capability boundary and removed the completed Phase 4 overlap claim.
okf/recovery/artifact-checkpoints.md,Recovery Procedure,stable,true,1,true,false,verified,false,true,false,true,Source references normalized to immutable GitHub permalinks at the Phase 2 baseline commit; body and custom owa metadata intentionally unchanged.
okf/recovery/checkpoint-recovery.md,Recovery Procedure,stable,true,3,true,false,verified,false,true,false,true,Source references normalized to immutable GitHub permalinks at the Phase 2 baseline commit; body and custom owa metadata intentionally unchanged.
okf/recovery/completed-output.md,Recovery Procedure,stable,true,1,true,false,verified,false,true,false,true,Source references normalized to immutable GitHub permalinks at the Phase 2 baseline commit; body and custom owa metadata intentionally unchanged.
okf/recovery/fencing.md,Recovery Procedure,stable,true,3,true,false,verified,false,true,false,true,Source references normalized to immutable GitHub permalinks at the Phase 2 baseline commit; body and custom owa metadata intentionally unchanged.
okf/recovery/heartbeats.md,Recovery Procedure,stable,true,1,true,false,verified,false,true,false,true,Source references normalized to immutable GitHub permalinks at the Phase 2 baseline commit; body and custom owa metadata intentionally unchanged.
okf/recovery/leases.md,Recovery Procedure,stable,true,3,true,false,verified,false,true,false,true,Source references normalized to immutable GitHub permalinks at the Phase 2 baseline commit; body and custom owa metadata intentionally unchanged.
okf/recovery/partial-files.md,Recovery Procedure,stable,true,1,true,false,partial,false,true,false,true,Source references normalized to immutable GitHub permalinks at the Phase 2 baseline commit; body and custom owa metadata intentionally unchanged.
okf/recovery/pause-resume.md,Recovery Procedure,stable,true,1,true,false,verified,false,true,false,true,Source references normalized to immutable GitHub permalinks at the Phase 2 baseline commit; body and custom owa metadata intentionally unchanged.
okf/recovery/run-control.md,Recovery Procedure,stable,true,1,true,false,verified,false,true,false,true,Source references normalized to immutable GitHub permalinks at the Phase 2 baseline commit; body and custom owa metadata intentionally unchanged.
okf/security/runtime-network.md,Security Control,stable,true,2,true,false,partial,false,true,false,true,Source references normalized to immutable GitHub permalinks at the Phase 2 baseline commit; body and custom owa metadata intentionally unchanged.
okf/security/security-boundaries.md,Security Control,stable,true,1,true,false,partial,false,true,false,true,Source references normalized to immutable GitHub permalinks at the Phase 2 baseline commit; body and custom owa metadata intentionally unchanged.
