"path","area","classification","official_bundle_member","reserved_file","concept","extension_file","active_documentation","archived","tracked_before_phase6","changed_since_baseline","validation_status","notes"
".github/workflows/okf-validation.yml","ci","ci","false","false","false","false","true","false","true","false","PASS","In active maintainer or validation scope."
"HANDOFF.md","active-documentation","active-documentation","false","false","false","false","true","false","true","true","PASS","In active maintainer or validation scope."
"README.md","active-documentation","active-documentation","false","false","false","false","true","false","true","true","PASS","In active maintainer or validation scope."
"docs/archive/okf/README.md","historical-archive","non-authoritative archive control","false","false","false","false","false","true","true","true","READABLE_ARCHIVE","Excluded from official discovery and operational ownership."
"docs/archive/okf/bootstrap/AUTHORITATIVE_SOURCE_MAP.md","historical-archive","historical material","false","false","false","false","false","true","true","true","READABLE_ARCHIVE","Excluded from official discovery and operational ownership."
"docs/archive/okf/bootstrap/BOOTSTRAP_GAP_ANALYSIS.md","historical-archive","historical material","false","false","false","false","false","true","true","true","READABLE_ARCHIVE","Excluded from official discovery and operational ownership."
"docs/archive/okf/bootstrap/BOOTSTRAP_TRACEABILITY.md","historical-archive","historical material","false","false","false","false","false","true","true","true","READABLE_ARCHIVE","Excluded from official discovery and operational ownership."
"docs/archive/okf/bootstrap/EVIDENCE_POLICY.md","historical-archive","historical material","false","false","false","false","false","true","true","true","READABLE_ARCHIVE","Excluded from official discovery and operational ownership."
"docs/archive/okf/bootstrap/IDENTIFIER_CONVENTIONS.md","historical-archive","historical material","false","false","false","false","false","true","true","true","READABLE_ARCHIVE","Excluded from official discovery and operational ownership."
"docs/archive/okf/bootstrap/KNOWLEDGE_DOMAIN_MODEL.md","historical-archive","historical material","false","false","false","false","false","true","true","true","READABLE_ARCHIVE","Excluded from official discovery and operational ownership."
"docs/archive/okf/bootstrap/MIGRATION_AND_ACTIVATION_PLAN.md","historical-archive","historical material","false","false","false","false","false","true","true","true","READABLE_ARCHIVE","Excluded from official discovery and operational ownership."
"docs/archive/okf/bootstrap/OPEN_QUESTIONS.md","historical-archive","historical material","false","false","false","false","false","true","true","true","READABLE_ARCHIVE","Excluded from official discovery and operational ownership."
"docs/archive/okf/bootstrap/PHASE_EVIDENCE/PHASE_02_FEASIBILITY_EVIDENCE.md","historical-archive","historical material","false","false","false","false","false","true","true","true","READABLE_ARCHIVE","Excluded from official discovery and operational ownership."
