rule_id,rule_name,spec_section,normative_strength,official_conformance,owa_policy_layer,severity,exit_effect,implementation_file,test_file,notes
OKF-CONFORMANCE-BUNDLE-MISSING,bundle root is present,§3,MUST,YES,,error,1,tools/okf/official.mjs,tests/okf/strict-validator.test.ts,Repository boundary for the checked bundle; root index remains optional.
OKF-CONFORMANCE-BUNDLE-ROOT,bundle root is a directory,§3,MUST,YES,,error,1,tools/okf/official.mjs,tests/okf/strict-validator.test.ts,Rejects an invalid okf root.
OKF-CONFORMANCE-FRONTMATTER-MISSING,non-reserved Markdown has frontmatter,§11,MUST,YES,,error,1,tools/okf/official.mjs,tests/okf/strict-validator.test.ts,Every present non-reserved Markdown file is a Concept.
OKF-CONFORMANCE-YAML-INVALID,Concept frontmatter is parseable YAML,§4.1 and §11,MUST,YES,,error,1,tools/okf/official.mjs,tests/okf/strict-validator.test.ts,Uses strict duplicate-key and UTF-8-safe parsing.
OKF-CONFORMANCE-TYPE-MISSING,Concept has type,§4.1 and §11,MUST,YES,,error,1,tools/okf/official.mjs,tests/okf/strict-validator.test.ts,Type is the only always-required Concept key.
OKF-CONFORMANCE-TYPE-NOT-STRING,type is a string,§4.1,MUST,YES,,error,1,tools/okf/official.mjs,tests/okf/strict-validator.test.ts,Unknown values are accepted when the value is a non-empty string.
OKF-CONFORMANCE-TYPE-EMPTY,type is non-empty,§4.1 and §11,MUST,YES,,error,1,tools/okf/official.mjs,tests/okf/strict-validator.test.ts,Whitespace-only values fail.
OKF-CONFORMANCE-COMPUTATION-RUNTIME-MISSING,Attested Computation declares runtime,§10.2,MUST,YES,,error,1,tools/okf/official.mjs,tests/okf/strict-validator.test.ts,Only applies when the declared type is Attested Computation.
OKF-CONFORMANCE-INDEX-ROOT-FRONTMATTER,root index version declaration is valid,§8 and §12,MAY/constraint,YES,,error,1,tools/okf/official.mjs,tests/okf/strict-validator.test.ts,Root frontmatter is optional and may contain only okf_version 0.2.
OKF-CONFORMANCE-INDEX-FRONTMATTER,directory indexes have no frontmatter,§8,MUST,YES,,error,1,tools/okf/official.mjs,tests/okf/strict-validator.test.ts,Present directory indexes are reserved files, not Concepts.
OKF-CONFORMANCE-INDEX-BODY,present index has a section heading,§8,SHOULD/MUST for structure,YES,,error,1,tools/okf/official.mjs,tests/okf/strict-validator.test.ts,Entry descriptions and target existence remain soft.
OKF-CONFORMANCE-LOG-FRONTMATTER,present logs have no Concept frontmatter,§9,MUST,YES,,error,1,tools/okf/official.mjs,tests/okf/strict-validator.test.ts,Logs are reserved files.
OKF-CONFORMANCE-LOG-DATE-MISSING,present log has a date group,§9,MUST,YES,,error,1,tools/okf/official.mjs,tests/okf/strict-validator.test.ts,Only present logs are checked.
OKF-CONFORMANCE-LOG-DATE-INVALID,log dates use ISO form,§9,MUST,YES,,error,1,tools/okf/official.mjs,tests/okf/strict-validator.test.ts,Date headings use YYYY-MM-DD.
OKF-CONFORMANCE-UNEXPECTED-ARTIFACT,bundle contains Markdown artifacts,§3,MUST,YES,,error,1,tools/okf/official.mjs,tests/okf/layered-validator.test.ts,Filesystem safety boundary for the checked bundle.
OWA-REF-LINK-BROKEN,normal Markdown target is absent,§6.1,MUST tolerate,NO,references,warning,0,tools/okf/references.mjs,tests/okf/strict-validator.test.ts,Warning by default; warnings-as-errors makes it exit 1.
OWA-REF-LOCAL-NOT-FOUND,local reference target is absent,§5.1 and §6.2,PROJECT_POLICY,NO,references,error,1,tools/okf/references.mjs,tests/okf/strict-validator.test.ts,OWA reference integrity only.
OWA-REF-TRAVERSAL,local reference escapes boundary,§6.2,PROJECT_POLICY,NO,references,error,1,tools/okf/references.mjs,tests/okf/strict-validator.test.ts,No official conformance effect.
OWA-REF-RESOURCE-SYNTAX,reference resource is syntactically classifiable,§5.1 and §6.2,PROJECT_POLICY,NO,references,error,1,tools/okf/references.mjs,tests/okf/strict-validator.test.ts,Scope descriptors are accepted without path resolution.
OWA-PROVENANCE-MUTABLE-GITHUB-URL,GitHub source is pinned to a full SHA,OWA repository policy,PROJECT_POLICY,NO,provenance,error,1,tools/okf/provenance.mjs,tests/okf/strict-validator.test.ts,Branch refs are valid official URL syntax but violate OWA provenance.
OWA-PROVENANCE-COMMIT-NOT-FOUND,local commit exists,OWA repository policy,PROJECT_POLICY,NO,provenance,error,1,tools/okf/provenance.mjs,tests/okf/strict-validator.test.ts,Only same-repository local verification can emit this rule.
OWA-PROVENANCE-PATH-NOT-IN-COMMIT,source path exists at commit,OWA repository policy,PROJECT_POLICY,NO,provenance,error,1,tools/okf/provenance.mjs,tests/okf/strict-validator.test.ts,Only same-repository local verification can emit this rule.
OWA-PROVENANCE-LOCAL-ABSOLUTE-PATH,developer-local paths are prohibited,OWA repository policy,PROJECT_POLICY,NO,provenance,error,1,tools/okf/provenance.mjs,tests/okf/strict-validator.test.ts,"Windows, UNC, common POSIX developer paths, and file URLs are rejected."
OWA-EXT-MANIFEST-SCHEMA,extension manifest follows OWA schema,OWA extension contract,PROJECT_POLICY,NO,extension,error,1,tools/okf/extension.mjs,tests/okf/strict-validator.test.ts,Extension-only diagnostic.
OWA-QUALITY-REQUIRED-METADATA,recommended repository metadata is present,OWA quality policy,SHOULD,NO,quality,error,1,tools/okf/policy.mjs,tests/okf/strict-validator.test.ts,Missing title/description/status does not fail official conformance.
OWA-FORMAT-FRONTMATTER-ORDER,repository frontmatter is canonical,OWA format policy,SHOULD,NO,format,warning,0,tools/okf/policy.mjs,tests/okf/layered-validator.test.ts,Warnings are independent of official conformance.
