original_path,final_path,category,disposition,active_reference_count,historical_reference_count,unique_information,operational_dependency,reason,changed_in_phase_5,notes
docs/okf-migration/ACCEPTANCE_MATRIX.md,docs/archive/okf/migration/ACCEPTANCE_MATRIX.md,migration-history,ARCHIVE,0,unknown,true,false,Historical evidence or migration record retained for traceability,true,Original contents preserved; archived links are historical
docs/okf-migration/ACTOR_AND_PROVENANCE_MODEL.md,docs/archive/okf/migration/ACTOR_AND_PROVENANCE_MODEL.md,migration-history,ARCHIVE,0,unknown,true,false,Historical evidence or migration record retained for traceability,true,Original contents preserved; archived links are historical
docs/okf-migration/AUTHORING_AND_GENERATION_POLICY.md,docs/archive/okf/migration/AUTHORING_AND_GENERATION_POLICY.md,migration-history,ARCHIVE,0,unknown,true,false,Historical evidence or migration record retained for traceability,true,Original contents preserved; archived links are historical
docs/okf-migration/COMPLETE_CONTENT_MIGRATION_LEDGER.md,docs/archive/okf/migration/COMPLETE_CONTENT_MIGRATION_LEDGER.md,migration-history,ARCHIVE,0,unknown,true,false,Historical evidence or migration record retained for traceability,true,Original contents preserved; archived links are historical
docs/okf-migration/COMPLIANCE_MATRIX.md,docs/archive/okf/migration/COMPLIANCE_MATRIX.md,migration-history,ARCHIVE,0,unknown,true,false,Historical evidence or migration record retained for traceability,true,Original contents preserved; archived links are historical
docs/okf-migration/CONCEPT_TAXONOMY.md,docs/archive/okf/migration/CONCEPT_TAXONOMY.md,migration-history,ARCHIVE,0,unknown,true,false,Historical evidence or migration record retained for traceability,true,Original contents preserved; archived links are historical
docs/okf-migration/CONTENT_MIGRATION_MAP.md,docs/archive/okf/migration/CONTENT_MIGRATION_MAP.md,migration-history,ARCHIVE,0,unknown,true,false,Historical evidence or migration record retained for traceability,true,Original contents preserved; archived links are historical
docs/okf-migration/CURRENT_STATE_AUDIT.md,docs/archive/okf/migration/CURRENT_STATE_AUDIT.md,migration-history,ARCHIVE,0,unknown,true,false,Historical evidence or migration record retained for traceability,true,Original contents preserved; archived links are historical
docs/okf-migration/EXTENSION_ARTIFACT_INVENTORY.md,docs/archive/okf/migration/EXTENSION_ARTIFACT_INVENTORY.md,migration-history,ARCHIVE,0,unknown,true,false,Historical evidence or migration record retained for traceability,true,Original contents preserved; archived links are historical
docs/okf-migration/EXTENSION_BOUNDARY.md,docs/archive/okf/migration/EXTENSION_BOUNDARY.md,migration-history,ARCHIVE,0,unknown,true,false,Historical evidence or migration record retained for traceability,true,Original contents preserved; archived links are historical
docs/okf-migration/FILE_INVENTORY.md,docs/archive/okf/migration/FILE_INVENTORY.md,migration-history,ARCHIVE,0,unknown,true,false,Historical evidence or migration record retained for traceability,true,Original contents preserved; archived links are historical
docs/okf-migration/FINAL_MAINTAINER_HANDOFF.md,docs/archive/okf/migration/FINAL_MAINTAINER_HANDOFF.md,migration-history,ARCHIVE,0,unknown,true,false,Historical evidence or migration record retained for traceability,true,Original contents preserved; archived links are historical
docs/okf-migration/FINAL_MIGRATION_CLOSURE_REPORT.md,docs/archive/okf/migration/FINAL_MIGRATION_CLOSURE_REPORT.md,migration-history,ARCHIVE,0,unknown,true,false,Historical evidence or migration record retained for traceability,true,Original contents preserved; archived links are historical
docs/okf-migration/FINAL_OKF_CONFORMANCE_REPORT.md,docs/archive/okf/migration/FINAL_OKF_CONFORMANCE_REPORT.md,migration-history,ARCHIVE,0,unknown,true,false,Historical evidence or migration record retained for traceability,true,Original contents preserved; archived links are historical
docs/okf-migration/FRESHNESS_AND_VERIFICATION_POLICY.md,docs/archive/okf/migration/FRESHNESS_AND_VERIFICATION_POLICY.md,migration-history,ARCHIVE,0,unknown,true,false,Historical evidence or migration record retained for traceability,true,Original contents preserved; archived links are historical
docs/okf-migration/FRONTMATTER_FIELD_REFERENCE.md,docs/archive/okf/migration/FRONTMATTER_FIELD_REFERENCE.md,migration-history,ARCHIVE,0,unknown,true,false,Historical evidence or migration record retained for traceability,true,Original contents preserved; archived links are historical
docs/okf-migration/INVALID_FRONTMATTER_FIXTURES.md,docs/archive/okf/migration/INVALID_FRONTMATTER_FIXTURES.md,migration-history,ARCHIVE,0,unknown,true,false,Historical evidence or migration record retained for traceability,true,Original contents preserved; archived links are historical
docs/okf-migration/METADATA_CONTRACT.md,docs/archive/okf/migration/METADATA_CONTRACT.md,migration-history,ARCHIVE,0,unknown,true,false,Historical evidence or migration record retained for traceability,true,Original contents preserved; archived links are historical
docs/okf-migration/METADATA_MIGRATION_MAP.md,docs/archive/okf/migration/METADATA_MIGRATION_MAP.md,migration-history,ARCHIVE,0,unknown,true,false,Historical evidence or migration record retained for traceability,true,Original contents preserved; archived links are historical
docs/okf-migration/MIGRATION_PLAN.md,docs/archive/okf/migration/MIGRATION_PLAN.md,migration-history,ARCHIVE,0,unknown,true,false,Historical evidence or migration record retained for traceability,true,Original contents preserved; archived links are historical
docs/okf-migration/MIGRATION_RISK_REGISTER.md,docs/archive/okf/migration/MIGRATION_RISK_REGISTER.md,migration-history,ARCHIVE,0,unknown,true,false,Historical evidence or migration record retained for traceability,true,Original contents preserved; archived links are historical
docs/okf-migration/OFFICIAL_OKF_REQUIREMENTS.md,docs/archive/okf/migration/OFFICIAL_OKF_REQUIREMENTS.md,migration-history,ARCHIVE,0,unknown,true,false,Historical evidence or migration record retained for traceability,true,Original contents preserved; archived links are historical
docs/okf-migration/PATH_AND_NAMING_CONVENTIONS.md,docs/archive/okf/migration/PATH_AND_NAMING_CONVENTIONS.md,migration-history,ARCHIVE,0,unknown,true,false,Historical evidence or migration record retained for traceability,true,Original contents preserved; archived links are historical
docs/okf-migration/PHASE_02_DECISIONS.md,docs/archive/okf/migration/PHASE_02_DECISIONS.md,migration-history,ARCHIVE,0,unknown,true,false,Historical evidence or migration record retained for traceability,true,Original contents preserved; archived links are historical
docs/okf-migration/PHASE_02_UNRESOLVED_ITEMS.md,docs/archive/okf/migration/PHASE_02_UNRESOLVED_ITEMS.md,migration-history,ARCHIVE,0,unknown,true,false,Historical evidence or migration record retained for traceability,true,Original contents preserved; archived links are historical
docs/okf-migration/PHASE_03_DECISIONS.md,docs/archive/okf/migration/PHASE_03_DECISIONS.md,migration-history,ARCHIVE,0,unknown,true,false,Historical evidence or migration record retained for traceability,true,Original contents preserved; archived links are historical
docs/okf-migration/PHASE_03_UNRESOLVED_ITEMS.md,docs/archive/okf/migration/PHASE_03_UNRESOLVED_ITEMS.md,migration-history,ARCHIVE,0,unknown,true,false,Historical evidence or migration record retained for traceability,true,Original contents preserved; archived links are historical
docs/okf-migration/PHASE_04_CONFORMANCE_REPORT.md,docs/archive/okf/migration/PHASE_04_CONFORMANCE_REPORT.md,migration-history,ARCHIVE,0,unknown,true,false,Historical evidence or migration record retained for traceability,true,Original contents preserved; archived links are historical
docs/okf-migration/PHASE_04_CORE_MIGRATION_LEDGER.md,docs/archive/okf/migration/PHASE_04_CORE_MIGRATION_LEDGER.md,migration-history,ARCHIVE,0,unknown,true,false,Historical evidence or migration record retained for traceability,true,Original contents preserved; archived links are historical
docs/okf-migration/PHASE_04_IMPLEMENTATION_REPORT.md,docs/archive/okf/migration/PHASE_04_IMPLEMENTATION_REPORT.md,migration-history,ARCHIVE,0,unknown,true,false,Historical evidence or migration record retained for traceability,true,Original contents preserved; archived links are historical
docs/okf-migration/PHASE_04_LINK_AND_SOURCE_AUDIT.md,docs/archive/okf/migration/PHASE_04_LINK_AND_SOURCE_AUDIT.md,migration-history,ARCHIVE,0,unknown,true,false,Historical evidence or migration record retained for traceability,true,Original contents preserved; archived links are historical
