"path","type","status","frontmatter_valid","source_count","source_policy_valid","links_checked","official_verified","custom_owa_present","changed_during_migration","final_result","notes"
"okf/architecture/application-service.md","Architecture Component","stable","true","2","true","true","true","true","false","PASS","Current Concept passes official and OWA policy validation."
"okf/architecture/browser-runtime.md","Architecture Component","stable","true","3","true","true","true","true","false","PASS","Current Concept passes official and OWA policy validation."
"okf/architecture/cli.md","Architecture Component","stable","true","1","true","true","true","true","false","PASS","Current Concept passes official and OWA policy validation."
"okf/architecture/contracts.md","Architecture Component","stable","true","2","true","true","true","true","false","PASS","Current Concept passes official and OWA policy validation."
"okf/architecture/desktop-interface.md","Architecture Component","stable","true","1","true","true","true","true","false","PASS","Current Concept passes official and OWA policy validation."
"okf/architecture/platform.md","Architecture Component","stable","true","1","true","true","true","true","false","PASS","Current Concept passes official and OWA policy validation."
"okf/data/database.md","Data Model","stable","true","3","true","true","true","true","false","PASS","Current Concept passes official and OWA policy validation."
"okf/data/persistence.md","Data Model","stable","true","3","true","true","true","true","false","PASS","Current Concept passes official and OWA policy validation."
"okf/data/project-format.md","Data Model","stable","true","3","true","true","true","true","false","PASS","Current Concept passes official and OWA policy validation."
"okf/data/render-results.md","Data Model","stable","true","2","true","true","true","true","false","PASS","Current Concept passes official and OWA policy validation."
"okf/history/phase-01.md","Phase Record","stable","true","2","true","true","true","true","false","PASS","Current Concept passes official and OWA policy validation."
"okf/history/phase-02.md","Phase Record","stable","true","3","true","true","true","true","true","PASS","Historical reference correction only; immutable pre-archive source permalink intentionally preserved."
"okf/history/phase-03.md","Phase Record","stable","true","2","true","true","true","true","false","PASS","Current Concept passes official and OWA policy validation."
"okf/history/phase-04.md","Phase Record","stable","true","2","true","true","true","true","false","PASS","Current Concept passes official and OWA policy validation."
"okf/history/phase-05.md","Phase Record","stable","true","2","true","true","true","true","false","PASS","Current Concept passes official and OWA policy validation."
"okf/history/phase-06.md","Phase Record","stable","true","3","true","true","true","true","false","PASS","Current Concept passes official and OWA policy validation."
"okf/history/phase-07.md","Phase Record","stable","true","3","true","true","true","true","false","PASS","Current Concept passes official and OWA policy validation."
"okf/history/phase-08.md","Phase Record","stable","true","4","true","true","true","true","false","PASS","Current Concept passes official and OWA policy validation."
"okf/operations/migration.md","Operational Runbook","stable","true","1","true","true","true","true","false","PASS","Current Concept passes official and OWA policy validation."
"okf/operations/observability.md","Operational Runbook","stable","true","1","true","true","true","true","false","PASS","Current Concept passes official and OWA policy validation."
"okf/operations/packaging.md","Operational Runbook","stable","true","1","true","true","true","true","false","PASS","Current Concept passes official and OWA policy validation."
"okf/product/overview.md","Project Overview","stable","true","2","true","true","true","true","false","PASS","Current Concept passes official and OWA policy validation."
"okf/recovery/artifact-checkpoints.md","Recovery Procedure","stable","true","1","true","true","true","true","false","PASS","Current Concept passes official and OWA policy validation."
"okf/recovery/checkpoint-recovery.md","Recovery Procedure","stable","true","3","true","true","true","true","false","PASS","Current Concept passes official and OWA policy validation."
"okf/recovery/completed-output.md","Recovery Procedure","stable","true","1","true","true","true","true","false","PASS","Current Concept passes official and OWA policy validation."
"okf/recovery/fencing.md","Recovery Procedure","stable","true","3","true","true","true","true","false","PASS","Current Concept passes official and OWA policy validation."
"okf/recovery/heartbeats.md","Recovery Procedure","stable","true","1","true","true","true","true","false","PASS","Current Concept passes official and OWA policy validation."
"okf/recovery/leases.md","Recovery Procedure","stable","true","3","true","true","true","true","false","PASS","Current Concept passes official and OWA policy validation."
"okf/recovery/partial-files.md","Recovery Procedure","stable","true","1","true","true","true","true","false","PASS","Current Concept passes official and OWA policy validation."
"okf/recovery/pause-resume.md","Recovery Procedure","stable","true","1","true","true","true","true","false","PASS","Current Concept passes official and OWA policy validation."
"okf/recovery/run-control.md","Recovery Procedure","stable","true","1","true","true","true","true","false","PASS","Current Concept passes official and OWA policy validation."
"okf/security/runtime-network.md","Security Control","stable","true","2","true","true","true","true","false","PASS","Current Concept passes official and OWA policy validation."
"okf/security/security-boundaries.md","Security Control","stable","true","1","true","true","true","true","false","PASS","Current Concept passes official and OWA policy validation."
"okf/testing/test-strategy.md","Test Strategy","stable","true","2","true","true","true","true","false","PASS","Current Concept passes official and OWA policy validation."
"okf/workflow/job-attempts.md","Workflow","stable","true","1","true","true","true","true","false","PASS","Current Concept passes official and OWA policy validation."
"okf/workflow/job-state-machine.md","Workflow","stable","true","3","true","true","true","true","false","PASS","Current Concept passes official and OWA policy validation."
"okf/workflow/queue.md","Workflow","stable","true","3","true","true","true","true","false","PASS","Current Concept passes official and OWA policy validation."
"okf/workflow/rendering.md","Workflow","stable","true","3","true","true","true","true","false","PASS","Current Concept passes official and OWA policy validation."
"okf/workflow/scope-engine.md","Workflow","stable","true","2","true","true","true","true","false","PASS","Current Concept passes official and OWA policy validation."
"okf/workflow/site-profile.md","Workflow","stable","true","2","true","true","true","true","false","PASS","Current Concept passes official and OWA policy validation."
