rule_id,rule_name,layer,severity,official_spec_basis,implemented_in,tested_by,positive_test,negative_test,network_required,notes
OKF-STRUCT-BUNDLE-MISSING,official bundle root exists,official,error,OKF v0.2 bundle structure,tools/okf/official.mjs,tests/okf/strict-validator.test.ts,strict official validator accepts the minimal valid bundle,invalid root fixture,No,Missing root is a blocking structural failure.
OKF-STRUCT-BUNDLE-ROOT,official bundle root is a directory,official,error,OKF v0.2 bundle structure,tools/okf/official.mjs,tests/okf/strict-validator.test.ts,strict official validator accepts the minimal valid bundle,invalid root fixture,No,Rejects a file or special entry at okf/.
OKF-INDEX-ROOT-MISSING,root index required by repository bundle contract,official,error,OKF v0.2 §8 plus repository root-index contract,tools/okf/discovery.mjs;tools/okf/official.mjs,tests/okf/strict-validator.test.ts,valid root index fixture,missing root index,No,superseded_by_phase_4; historical rule retained for traceability because OKF v0.2 makes the root index optional.
OKF-INDEX-DUPLICATE-CASE,reserved path casing collision,official,error,OKF v0.2 reserved filenames §3.1,tools/okf/discovery.mjs;tools/okf/official.mjs,tests/okf/strict-validator.test.ts,valid lower-case reserved names,case collision fixture,No,Deterministic across Windows and Linux.
OKF-INDEX-CASE,reserved filename uses exact lower-case spelling,official,error,OKF v0.2 reserved filenames §3.1,tools/okf/discovery.mjs;tools/okf/official.mjs,tests/okf/layered-validator.test.ts,valid indexes,upper-case reserved filename,No,Selected casing policy is documented.
OKF-STRUCT-UNSAFE-LINK,official bundle does not follow links,official,error,filesystem safety boundary,tools/okf/discovery.mjs;tools/okf/official.mjs,tests/okf/layered-validator.test.ts,production has no links,symlink or junction fixture,No,Links are classified without reading their targets.
OKF-STRUCT-MD-DIRECTORY,.md directories are not Markdown files,official,error,OKF v0.2 tree contains Markdown files,tools/okf/discovery.mjs;tools/okf/official.mjs,tests/okf/strict-validator.test.ts,valid directory fixture,.md directory fixture,No,Prevents directory/file ambiguity.
OKF-STRUCT-UNEXPECTED-ARTIFACT,official bundle contains Markdown only,official,error,OKF v0.2 bundle structure,tools/okf/discovery.mjs;tools/okf/official.mjs,tests/okf/layered-validator.test.ts,production Markdown inventory,non-Markdown artifact fixture,No,Extension files are never scanned here.
OKF-STRUCT-UNREADABLE,official artifact is readable UTF-8,official,error,OKF v0.2 UTF-8 Markdown requirement,tools/okf/discovery.mjs;tools/okf/official.mjs,tests/okf/strict-validator.test.ts,valid UTF-8 fixture,unreadable or binary fixture,No,No execution of content.
OKF-FRONTMATTER-MISSING,Concept begins with frontmatter,official,error,OKF v0.2 §4/§11,tools/okf/official.mjs,tests/okf/strict-validator.test.ts,valid Concept fixture,missing frontmatter and arbitrary folder,No,Every non-reserved .md is a Concept.
OKF-YAML-INVALID,frontmatter YAML parses,official,error,OKF v0.2 §4,tools/okf/frontmatter.mjs;tools/okf/official.mjs,tests/okf/strict-validator.test.ts,valid YAML fixture,malformed YAML,No,Duplicate keys are rejected by YAML parser.
OKF-FRONTMATTER-NOT-MAPPING,frontmatter root is a mapping,official,error,OKF v0.2 frontmatter metadata block,tools/okf/official.mjs,tests/okf/layered-validator.test.ts,mapping fixture,sequence/scalar root,No,Unknown mapping keys remain accepted.
OKF-TYPE-MISSING,Concept contains type,official,error,OKF v0.2 §4.1/§11,tools/okf/official.mjs,tests/okf/strict-validator.test.ts,typed Concept,missing type,No,Only always-required Concept key.
OKF-TYPE-NOT-STRING,type is a string,official,error,OKF v0.2 §4.1,tools/okf/official.mjs,tests/okf/strict-validator.test.ts,typed Concept,numeric type,No,Unknown string values are allowed.
OKF-TYPE-EMPTY,type is non-empty,official,error,OKF v0.2 §11,tools/okf/official.mjs,tests/okf/strict-validator.test.ts,typed Concept,empty type,No,Whitespace-only values fail.
OKF-COMPUTATION-RUNTIME-MISSING,Attested Computation runtime exists,official,error,OKF v0.2 §10.2,tools/okf/official.mjs,tests/okf/strict-validator.test.ts,non-computation Concept,missing runtime,No,Runtime is required only for this official type.
OKF-INDEX-ROOT-FRONTMATTER,root index has only okf_version 0.2,official,error,OKF v0.2 §8/§12,tools/okf/official.mjs,tests/okf/layered-validator.test.ts,valid root index,invalid root metadata,No,Root frontmatter is optional but constrained when present.
OKF-INDEX-FRONTMATTER,directory index has no frontmatter,official,error,OKF v0.2 §8,tools/okf/official.mjs,tests/okf/layered-validator.test.ts,valid directory index,directory index frontmatter,No,No type is required for indexes.
OKF-LOG-FRONTMATTER,reserved log has no Concept frontmatter,official,error,OKF v0.2 §9,tools/okf/official.mjs,tests/okf/layered-validator.test.ts,valid log,log frontmatter,No,Logs use date-grouped prose.
OKF-LOG-DATE-MISSING,log has a date heading,official,error,OKF v0.2 §9,tools/okf/official.mjs,tests/okf/layered-validator.test.ts,valid log,log without date,No,Date headings use ISO form.
OKF-LOG-DATE-INVALID,log date heading is ISO,official,error,OKF v0.2 §9,tools/okf/official.mjs,tests/okf/layered-validator.test.ts,valid log,non-ISO log heading,No,Leading bold entry labels remain prose.
OKF-SOURCE-RESOURCE-MISSING,source entry has resource, references,error,OKF v0.2 §5.1,tools/okf/references.mjs,tests/okf/strict-validator.test.ts,valid source,source without resource,No,Scope descriptors are accepted when non-path.
OKF-SOURCE-INVALID,sources is a list, references,error,OKF v0.2 §5.1,tools/okf/references.mjs,tests/okf/strict-validator.test.ts,valid source list,scalar sources,No,Separate from structural frontmatter parsing.
